Row_number	Gene_Name	File_Location
179	group_12293	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL179
180	rimP	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL180
181	group_12236	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL181
182	group_12224	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL182
183	group_12223	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL183
184	group_12222	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL184
185	group_12210	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL185
186	asnC	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL186
187	group_12201	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL187
188	group_12183	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL188
189	group_12180	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL189
190	group_12160	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL190
191	group_12158	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL191
192	group_12157	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL192
193	group_12131	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL193
194	group_12117	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL194
195	group_12110	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL195
196	group_12080	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL196
197	group_12079	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL197
198	group_12063	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL198
199	group_12062	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL199
200	group_12016	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL200
201	group_12004	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL201
202	group_12002	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL202
203	group_11986	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL203
204	group_11985	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL204
205	group_11974	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL205
206	group_11972	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL206
207	group_11954	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL207
208	group_11953	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL208
209	group_11952	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL209
210	group_11930	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL210
211	group_11899	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL211
212	rseA	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL212
213	kdsC	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL213
214	group_11833	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL214
215	group_11811	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL215
216	group_11788	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL216
217	rimM	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL217
218	group_11787	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL218
219	group_11786	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL219
220	group_11780	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL220
221	group_11770	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL221
222	group_11743	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL222
223	group_11742	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL223
224	group_11723	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL224
225	group_11720	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL225
226	group_11700	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL226
227	group_11697	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL227
228	group_11657	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL228
229	group_11637	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL229
230	group_11633	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL230
231	group_11632	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL231
232	group_11631	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL232
233	group_11612	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL233
234	group_11611	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL234
235	group_11605	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL235
236	group_11595	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL236
237	group_11566	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL237
238	group_11565	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL238
239	group_11564	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL239
240	ruvC	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL240
241	group_11544	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL241
242	group_11543	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL242
243	group_11540	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL243
244	group_11524	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL244
245	group_11521	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL245
246	group_11506	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL246
247	group_11504	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL247
248	group_11478	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL248
249	group_11477	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL249
250	group_11476	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL250
251	group_11457	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL251
252	group_11455	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL252
253	lemA	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL253
254	group_11446	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL254
255	group_11434	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL255
256	group_11396	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL256
257	group_11382	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL257
258	group_11380	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL258
259	group_11377	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL259
260	group_11363	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL260
261	group_11362	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL261
262	group_11351	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL262
